Name;Address;Datatype;Description;Enhet;Meas interval;Meas unit;New tag
PPU04_02_02_DRIFTSKLAR;D904.6;BOOL;PPU04_02_02 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU04_02_02_DRIFTSKLAR
PPU60_00_01_ACC_CURR;D602;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU60_00_01_ACC_CURR
PPU60_00_01_ACC_SPEED;D600;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU60_00_01_ACC_SPEED
PPU60_00_01_DRIFTSKLAR;D904.9;BOOL;PPU60_00_01 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU60_00_01_DRIFTSKLAR
PPU60_00_02_ACC_CURR;D614;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU60_00_02_ACC_CURR
PPU60_00_02_ACC_SPEED;D612;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU60_00_02_ACC_SPEED
PPU60_00_02_DRIFTSKLAR;D904.A;BOOL;PPU60_00_02 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU60_00_02_DRIFTSKLAR
PPU60_01_00_ACC_CURR;D626;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU60_01_00_ACC_CURR
PPU60_01_00_ACC_SPEED;D624;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU60_01_00_ACC_SPEED
PPU60_01_00_DRIFTSKLAR;D904.B;BOOL;PPU60_01_00 Frekvensomformare driftsklar;Av/på;0;Ved Endring;P_THP_PPU60_01_00_DRIFTSKLAR
PPU60_01_00_F_REF;D4803;INT;Referens speed 0-12000 till frekv.omf som inte har PID;;30;Sekund;P_THP_PPU60_01_00_F_REF
PPU60_02_00_ACC_CURR;D638;REAL;Aktuell ström från frekv.;;30;Sekund;P_THP_PPU60_02_00_ACC_CURR
PPU60_02_00_ACC_SPEED;D636;REAL;Aktuell speed från frekv. 0.0-50.0 Hz;;30;Sekund;P_THP_PPU60_02_00_ACC_SPEED
